"Volt","Freq","Zreal","Zimag","Zreal_pred","Zimag_pred"
3.177,3984,0.01261,-0.001153,0.0113643097290056,-0.001198
3.177,3171,0.01273,-0.0005522,0.0114341197401946,-0.0005283
3.177,2528,0.01288,-3.994e-05,0.011564970632939,8.187e-05
3.177,1976,0.01308,0.0004473,0.0117750437249612,0.00047485
3.177,1578,0.01331,0.0008298,0.0119901144557875,0.0009106
3.177,1266,0.01355,0.001153,0.0122426441924056,0.00123075
3.177,998.3,0.01385,0.001464,0.0125850685810204,0.00152825
3.177,796.9,0.01416,0.001721,0.0128929015709986,0.00165675
3.177,505.5,0.01488,0.002152,0.0136436725259303,0.0021955
3.177,398,0.01529,0.002326,0.0140202668313017,0.0023605
3.177,315.5,0.0157,0.002464,0.0144787866216119,0.00249025
3.177,252.4,0.01611,0.002569,0.0148555496329834,0.0025915
3.177,198.6,0.01655,0.002659,0.0153327980266023,0.002676
3.177,158.4,0.01696,0.002727,0.0157258200849247,0.00274275
3.177,125.6,0.01738,0.00279,0.016185073387576,0.0028045
3.177,100.4,0.01778,0.002848,0.016578002509421,0.00286475
3.177,79,0.0182,0.002915,0.0170549272737992,0.00293075
3.177,63.34,0.01859,0.002978,0.0174010543575956,0.002998
3.177,50.22,0.01899,0.003058,0.017697191949002,0.0030875
3.177,38.42,0.01943,0.003176,0.0182967165911968,0.003206
3.177,31.25,0.01977,0.003296,0.0185881094789944,0.00333575
3.177,24.93,0.02011,0.003455,0.0189820578664878,0.00341525
3.177,15.63,0.02095,0.004049,0.0197656111847859,0.0041545
3.177,12.4,0.02127,0.004471,0.0202217974535387,0.004605
3.177,9.931,0.02163,0.005007,0.0205690857659502,0.004873
3.177,6.317,0.02245,0.006536,0.0216015501448233,0.0068035
3.177,5.008,0.02296,0.007606,0.0221236116703166,0.0079455
3.177,3.946,0.02365,0.008964,0.0231878863662111,0.0086245
3.177,2.504,0.02552,0.01235,0.0252326016950274,0.0128875
3.177,1.998,0.02681,0.0145,0.0267017924793695,0.0151325
3.177,1.585,0.0285,0.01703,0.0286985044019302,0.01772
3.177,1.267,0.03059,0.01979,0.0307001814765527,0.020595
3.177,0.999,0.03339,0.02301,0.0336922661377488,0.0238525
3.177,0.7923,0.03684,0.02638,0.0370712037622854,0.0272125
3.177,0.6334,0.0409,0.02971,0.0416040337251342,0.0305425
3.177,0.504,0.04586,0.03304,0.0464351592596709,0.0322075
3.177,0.3167,0.05821,0.03869,0.0595342885298442,0.03917
3.177,0.252,0.06514,0.04061,0.0651311758655921,0.0409075
3.177,0.2003,0.07234,0.0418,0.0720642886097056,0.0419025
3.177,0.1589,0.07948,0.04221,0.0794482999563872,0.042205
3.177,0.126,0.08663,0.04219,0.0862245540358735,0.04208
3.177,0.1002,0.09336,0.04175,0.0930872132263765,0.0415875
3.177,0.07945,0.09978,0.0411,0.0994175013691001,0.0408425
3.177,0.06317,0.1052,0.04007,0.104737299058182,0.0398725
3.177,0.05013,0.1104,0.03928,0.10986514814428,0.0391575
3.177,0.03983,0.1153,0.03879,0.114308983498995,0.0389125
3.177,0.02512,0.1239,0.03901,0.124324868801111,0.039665
3.177,0.01585,0.1321,0.04163,0.132365686396985,0.0422325
3.177,0.01259,0.1363,0.04404,0.136181359080294,0.044825
3.177,0.01,0.1405,0.04718,0.139745801078776,0.046395
3.177,0.005012,0.1538,0.06226,0.154619933111193,0.06417
3.177,0.003981,0.1583,0.0699,0.158368935048638,0.072285
3.177,0.003162,0.1626,0.07944,0.162655130021483,0.08242
3.177,0.002512,0.1665,0.09136,0.166723940298014,0.09512
3.177,0.001995,0.1702,0.1064,0.170751842974357,0.1112
3.177,0.001585,0.174,0.1256,0.174762511454577,0.131625
3.177,0.001259,0.1779,0.1497,0.179442246721895,0.1574
3.177,0.001,0.183,0.1805,0.185809760176894,0.19015
3.177,0.0007943,0.1883,0.2191,0.191143413628354,0.231675
3.177,0.0006275,0.1956,0.2694,0.199136453482507,0.256825
3.177,0.0003165,0.2244,0.5035,0.231724208287384,0.533675
3.177,0.0002519,0.2382,0.6242,0.24289438004247,0.662325
3.177,0.0001998,0.251,0.7767,0.25205770957211,0.823
3.177,0.0001583,0.2465,0.9619,0.260202801551888,1.021175
3.177,0.0001259,0.2696,1.199,0.280284208480164,1.274
3.177,9.99e-05,0.2946,1.499,0.301422999003872,1.424
3.177,6.308e-05,0.3444,2.332,0.370419663360678,2.47925
3.177,5.009e-05,0.3954,2.921,0.413989029706516,3.10275
3.177,3.983e-05,0.4363,3.648,0.458359607997126,3.87875
3.177,3.162e-05,0.5085,4.571,0.507386431665169,4.863
3.177,2.512e-05,0.5258,5.739,0.560946809903803,6.09925
3.177,1.995e-05,0.6174,7.18,0.624096893980418,7.63175
3.177,1.585e-05,0.7392,8.987,0.67706449954031,9.50025
3.177,1.259e-05,0.6403,11.04,0.699273936083611,11.8125
3.177,9.999e-06,0.8774,14.13,0.744308158372856,13.3575
3.387,3171,0.01255,-0.0004566,0.0113199024898373,-0.0004805
3.387,1976,0.01293,0.0005575,0.0116588832199301,0.00052995
3.387,1578,0.01316,0.0009599,0.0118711668273457,0.001045675
3.387,1266,0.01342,0.001303,0.0120994144295829,0.00138675
3.387,998.3,0.01374,0.001638,0.0124403129185386,0.001709
3.387,796.9,0.01407,0.001922,0.0127660594348472,0.00199025
3.387,627.8,0.01446,0.002195,0.0131051159150072,0.00224925
3.387,505.5,0.01484,0.002412,0.0135446565966102,0.002464
3.387,398,0.01529,0.00262,0.0139866722078369,0.00266325
3.387,315.5,0.01576,0.002793,0.0144984018959389,0.00282775
3.387,252.4,0.01623,0.002932,0.0148925995679943,0.00296125
3.387,198.6,0.01674,0.003049,0.0153902060266105,0.0030705
3.387,158.4,0.01723,0.003135,0.0158399742469835,0.0031515
3.387,125.6,0.01773,0.003201,0.0163059881520309,0.0031845
3.387,79,0.01871,0.003296,0.0172700706645762,0.00330575
3.387,63.34,0.01916,0.003335,0.0177394437374567,0.00332525
3.387,38.42,0.02011,0.003465,0.0187614876618151,0.00348925
3.387,31.25,0.02048,0.003562,0.0190936411388594,0.00359975
3.387,24.93,0.02087,0.003713,0.019575072218193,0.00377325
3.387,19.86,0.02136,0.003954,0.0199602082425262,0.00389375
3.387,12.4,0.02218,0.004717,0.0209746096362578,0.0048475
3.387,9.931,0.02263,0.005239,0.0214157340374016,0.0054015
3.387,7.945,0.02321,0.005889,0.022023032799121,0.00608475
3.387,6.317,0.02389,0.006672,0.0228278224990858,0.0069
3.387,5.008,0.0248,0.007584,0.0235664888662989,0.0078395
3.387,3.946,0.02598,0.008606,0.0249887901997486,0.00885025
3.387,3.159,0.02735,0.009583,0.0262969637369906,0.00933875
3.387,1.998,0.03102,0.01131,0.029747695356437,0.01145
3.387,1.585,0.03324,0.01187,0.031944835383966,0.01193
3.387,1.267,0.03551,0.01211,0.0338854594889688,0.0120875
3.387,0.999,0.03792,0.01202,0.0362420322875894,0.0119175
3.387,0.7923,0.04015,0.01161,0.0384707300621521,0.0114575
3.387,0.6334,0.04211,0.011,0.0409542733610219,0.010815
3.387,0.504,0.04385,0.01026,0.0426367226295664,0.010061
3.387,0.4006,0.04535,0.009464,0.0439844538951353,0.0092695
3.387,0.3167,0.04664,0.008686,0.0454764046558639,0.00852
3.387,0.252,0.04772,0.008022,0.0465897069726402,0.00788325
3.387,0.2003,0.04862,0.007467,0.0474941457092062,0.007361
