Volt,Freq,Zreal,Zimag
3.177,10080.0,0.01258,-0.00491
3.177,8016.0,0.01253,-0.003743
3.177,6328.0,0.01251,-0.002711
3.177,5016.0,0.01254,-0.001863
3.177,3984.0,0.01261,-0.001153
3.177,3171.0,0.01273,-0.0005522
3.177,2528.0,0.01288,-3.994e-05
3.177,1976.0,0.01308,0.0004473
3.177,1578.0,0.01331,0.0008298
3.177,1266.0,0.01355,0.001153
3.177,998.3,0.01385,0.001464
3.177,796.9,0.01416,0.001721
3.177,627.8,0.01452,0.001964
3.177,505.5,0.01488,0.002152
3.177,398.0,0.01529,0.002326
3.177,315.5,0.0157,0.002464
3.177,252.4,0.01611,0.002569
3.177,198.6,0.01655,0.002659
3.177,158.4,0.01696,0.002727
3.177,125.6,0.01738,0.00279
3.177,100.4,0.01778,0.002848
3.177,79.0,0.0182,0.002915
3.177,63.34,0.01859,0.002978
3.177,50.22,0.01899,0.003058
3.177,38.42,0.01943,0.003176
3.177,31.25,0.01977,0.003296
3.177,24.93,0.02011,0.003455
3.177,19.86,0.02057,0.003714
3.177,15.63,0.02095,0.004049
3.177,12.4,0.02127,0.004471
3.177,9.931,0.02163,0.005007
3.177,7.945,0.02202,0.005682
3.177,6.317,0.02245,0.006536
3.177,5.008,0.02296,0.007606
3.177,3.946,0.02365,0.008964
3.177,3.159,0.02447,0.0105
3.177,2.504,0.02552,0.01235
3.177,1.998,0.02681,0.0145
3.177,1.585,0.0285,0.01703
3.177,1.267,0.03059,0.01979
3.177,0.999,0.03339,0.02301
3.177,0.7923,0.03684,0.02638
3.177,0.6334,0.0409,0.02971
3.177,0.504,0.04586,0.03304
3.177,0.4006,0.05161,0.03608
3.177,0.3167,0.05821,0.03869
3.177,0.252,0.06514,0.04061
3.177,0.2003,0.07234,0.0418
3.177,0.1589,0.07948,0.04221
3.177,0.126,0.08663,0.04219
3.177,0.1002,0.09336,0.04175
3.177,0.07945,0.09978,0.0411
3.177,0.06317,0.1052,0.04007
3.177,0.05013,0.1104,0.03928
3.177,0.03983,0.1153,0.03879
3.177,0.03163,0.1197,0.03864
3.177,0.02512,0.1239,0.03901
3.177,0.01996,0.128,0.03997
3.177,0.01585,0.1321,0.04163
3.177,0.01259,0.1363,0.04404
3.177,0.01,0.1405,0.04718
3.177,0.007944,0.1448,0.05116
3.177,0.00631,0.1494,0.05616
3.177,0.005012,0.1538,0.06226
3.177,0.003981,0.1583,0.0699
3.177,0.003162,0.1626,0.07944
3.177,0.002512,0.1665,0.09136
3.177,0.001995,0.1702,0.1064
3.177,0.001585,0.174,0.1256
3.177,0.001259,0.1779,0.1497
3.177,0.001,0.183,0.1805
3.177,0.0007943,0.1883,0.2191
3.177,0.0006275,0.1956,0.2694
3.177,0.0005037,0.2049,0.3285
3.177,0.0003974,0.2142,0.4079
3.177,0.0003165,0.2244,0.5035
3.177,0.0002519,0.2382,0.6242
3.177,0.0001998,0.251,0.7767
3.177,0.0001583,0.2465,0.9619
3.177,0.0001259,0.2696,1.199
3.177,9.99e-05,0.2946,1.499
3.177,7.948e-05,0.3114,1.863
3.177,6.308e-05,0.3444,2.332
3.177,5.009e-05,0.3954,2.921
3.177,3.983e-05,0.4363,3.648
3.177,3.162e-05,0.5085,4.571
3.177,2.512e-05,0.5258,5.739
3.177,1.995e-05,0.6174,7.18
3.177,1.585e-05,0.7392,8.987
3.177,1.259e-05,0.6403,11.04
3.177,9.999e-06,0.8774,14.13
3.387,10080.0,0.01235,-0.004832
3.387,8016.0,0.01233,-0.003668
3.387,6328.0,0.0123,-0.002631
3.387,5016.0,0.01234,-0.001781
3.387,3984.0,0.01243,-0.001066
3.387,3171.0,0.01255,-0.0004566
3.387,2528.0,0.01271,6.464e-05
3.387,1976.0,0.01293,0.0005575
3.387,1578.0,0.01316,0.0009599
3.387,1266.0,0.01342,0.001303
3.387,998.3,0.01374,0.001638
3.387,796.9,0.01407,0.001922
3.387,627.8,0.01446,0.002195
3.387,505.5,0.01484,0.002412
3.387,398.0,0.01529,0.00262
3.387,315.5,0.01576,0.002793
3.387,252.4,0.01623,0.002932
3.387,198.6,0.01674,0.003049
3.387,158.4,0.01723,0.003135
3.387,125.6,0.01773,0.003201
3.387,100.4,0.0182,0.00325
3.387,79.0,0.01871,0.003296
3.387,63.34,0.01916,0.003335
3.387,50.22,0.01961,0.003385
3.387,38.42,0.02011,0.003465
3.387,31.25,0.02048,0.003562
3.387,24.93,0.02087,0.003713
3.387,19.86,0.02136,0.003954
3.387,15.63,0.02179,0.00429
3.387,12.4,0.02218,0.004717
3.387,9.931,0.02263,0.005239
3.387,7.945,0.02321,0.005889
3.387,6.317,0.02389,0.006672
3.387,5.008,0.0248,0.007584
3.387,3.946,0.02598,0.008606
3.387,3.159,0.02735,0.009583
3.387,2.504,0.02909,0.01052
3.387,1.998,0.03102,0.01131
3.387,1.585,0.03324,0.01187
3.387,1.267,0.03551,0.01211
3.387,0.999,0.03792,0.01202
3.387,0.7923,0.04015,0.01161
3.387,0.6334,0.04211,0.011
3.387,0.504,0.04385,0.01026
3.387,0.4006,0.04535,0.009464
3.387,0.3167,0.04664,0.008686
3.387,0.252,0.04772,0.008022
3.387,0.2003,0.04862,0.007467
3.387,0.1589,0.04943,0.007043
3.387,0.126,0.05018,0.006768
3.387,0.1002,0.05091,0.006646
3.387,0.07945,0.05164,0.006672
3.387,0.06317,0.05219,0.006839
3.387,0.05013,0.0529,0.007172
3.387,0.03983,0.0537,0.007664
3.387,0.03163,0.05458,0.008318
3.387,0.02512,0.0556,0.009137
3.387,0.01996,0.05675,0.01012
3.387,0.01585,0.05807,0.01128
3.387,0.01259,0.05954,0.01261
3.387,0.01,0.06117,0.01409
3.387,0.007944,0.06294,0.01574
3.387,0.00631,0.06483,0.01755
3.387,0.005012,0.06681,0.01958
3.387,0.003981,0.06884,0.02189
3.387,0.003162,0.07084,0.02454
3.387,0.002512,0.07304,0.02767
3.387,0.001995,0.0753,0.03146
3.387,0.001585,0.07755,0.03602
3.387,0.001259,0.0799,0.0417
3.387,0.001,0.08237,0.0488
3.387,0.0007943,0.08522,0.05774
3.387,0.0006275,0.08832,0.06925
3.387,0.0005037,0.09156,0.08264
3.387,0.0003974,0.09541,0.1005
3.387,0.0003165,0.09904,0.1219
3.387,0.0002519,0.1018,0.1486
3.387,0.0001998,0.108,0.1836
3.387,0.0001583,0.1154,0.2262
3.387,0.0001259,0.125,0.2813
3.387,9.99e-05,0.1305,0.3496
3.65,10080.0,0.01208,-0.005083
3.65,8016.0,0.01202,-0.003909
3.65,6328.0,0.01197,-0.002878
3.65,5016.0,0.01198,-0.002036
3.65,3984.0,0.01203,-0.001333
3.65,3171.0,0.01213,-0.0007413
3.65,2528.0,0.01225,-0.0002394
3.65,1976.0,0.01243,0.0002345
3.65,1578.0,0.01263,0.0006026
3.65,1266.0,0.01284,0.0009106
3.65,998.3,0.01311,0.001202
3.65,796.9,0.01339,0.001441
3.65,627.8,0.01371,0.001662
3.65,505.5,0.01403,0.00182
3.65,398.0,0.0144,0.001965
3.65,315.5,0.01476,0.002068
3.65,252.4,0.01512,0.002141
3.65,198.6,0.0155,0.002195
3.65,158.4,0.01585,0.002224
3.65,125.6,0.01622,0.002242
3.65,100.4,0.01656,0.002253
3.65,79.0,0.01693,0.002255
3.65,63.34,0.01726,0.002251
3.65,50.22,0.01762,0.00224
3.65,38.42,0.01803,0.002217
3.65,31.25,0.01835,0.002188
3.65,24.93,0.0187,0.00214
3.65,19.86,0.01905,0.00207
3.65,15.63,0.01941,0.001966
3.65,12.4,0.01973,0.00184
3.65,9.931,0.02,0.001702
3.65,7.945,0.02023,0.001556
3.65,6.317,0.02044,0.001409
3.65,5.008,0.02062,0.001272
3.65,3.946,0.02077,0.001147
3.65,3.159,0.02089,0.00105
3.65,2.504,0.021,0.0009549
3.65,1.998,0.02109,0.0008939
3.65,1.585,0.02117,0.0008555
3.65,1.267,0.02125,0.000835
3.65,0.999,0.02133,0.0008329
3.65,0.7923,0.02141,0.0008525
3.65,0.6334,0.02148,0.0008923
3.65,0.504,0.02157,0.0009553
3.65,0.4006,0.02166,0.00104
3.65,0.3167,0.02176,0.001152
3.65,0.252,0.02187,0.00129
3.65,0.2003,0.022,0.001453
3.65,0.1589,0.02214,0.001653
3.65,0.126,0.02234,0.001888
3.65,0.1002,0.02256,0.002165
3.65,0.07945,0.02279,0.002494
3.65,0.06317,0.02298,0.002872
